TOTAL:25 B:0 C:0 A:1 R:1 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:7 C:8 A:0 R:6 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:5 C:6 A:1 R:6 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:7 B:3 C:3 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:2 C:5 A:1 R:4 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:1 C:4 A:1 R:2 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:5 C:3 A:1 R:3 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:13 B:5 C:7 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:6 B:1 C:4 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:12 B:3 C:8 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:13 B:6 C:6 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:7 B:1 C:5 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:12 B:4 C:7 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:1 C:1 A:1 R:1 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:12 B:5 C:6 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:10 B:4 C:5 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:13 B:6 C:6 A:0 R:8 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:1 C:1 A:1 R:3 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:3 C:2 A:1 R:3 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_neo SEED:time
TOTAL:25 B:3 C:2 A:1 R:6 CM:ai4games.codemaster_transformer_neo GUESSER:ai4games.guesser_transformer SEED:time
